Time,Data,Average,SD
 11:23:45   ,301.0,297.5,5.0
 11:23:48   ,304.0,297.6,5.31
 11:23:51   ,295.0,297.5,4.88
 11:23:54   ,299.0,299.3,4.34
 11:23:57   ,311.0,301.1,4.53
 11:24:00   ,311.0,300.7,4.52
 11:24:03   ,305.0,301.2,4.69
 11:24:06   ,308.0,302.3,5.76
 11:24:09   ,314.0,303.2,6.6
 11:24:12   ,313.0,304.3,6.12
 11:24:15   ,308.0,305.6,5.66
 11:24:18   ,303.0,306.3,5.92
 11:24:21   ,318.0,308.2,6.62
 11:24:24   ,304.0,307.6,4.57
 11:24:27   ,316.0,310.7,4.52
 11:24:30   ,318.0,310.2,5.21
 11:24:33   ,324.0,311.3,6.5
 11:24:36   ,305.0,310.7,5.5
 11:36:38   ,310.0,312.8,6.29
 11:36:41   ,307.0,311.6,6.83
 11:36:44   ,316.0,312.2,6.79
 13:01:01   ,331.0,313.6,8.89
 13:01:04   ,340.0,315.8,10.15
 13:01:07   ,342.0,317.3,11.55
 13:01:10   ,334.0,320.1,11.24
 13:01:13   ,341.0,323.4,13.64
 13:01:16   ,338.0,324.7,13.53
 13:01:19   ,342.0,326.8,14.74
 13:01:22   ,341.0,330.0,13.01
 13:01:25   ,336.0,332.7,11.31
 13:01:28   ,347.0,337.2,8.23
 13:01:31   ,340.0,338.5,3.53
 13:01:34   ,333.0,339.4,4.0
 13:01:37   ,344.0,340.5,3.58
 13:01:40   ,343.0,339.5,4.08
 13:01:43   ,339.0,340.1,3.75
 13:01:46   ,336.0,340.0,4.05
 13:01:49   ,345.0,341.0,4.0
 13:01:52   ,339.0,339.8,3.97
 13:01:55   ,332.0,339.5,4.92
 13:08:57   ,38.0,310.4,90.89
 13:09:00   ,1000.0,405.1,198.34
 13:09:03   ,850.0,359.9,186.42
 13:09:06   ,754.0,417.0,252.79
 13:09:09   ,38.0,396.0,291.01
 13:09:12   ,33.0,436.6,309.73
 13:09:15   ,62.0,409.4,328.44
 13:09:18   ,47.0,377.6,348.65
 13:09:21   ,954.0,440.0,387.05
 13:09:24   ,1000.0,415.4,410.57
 13:09:27   ,1000.0,477.6,439.33
 13:09:30   ,978.0,571.6,435.77
 13:09:33   ,260.0,499.8,421.82
 13:37:45   ,776.0,564.2,431.59
 13:37:48   ,763.0,513.5,434.53
 13:37:51   ,673.0,578.3,406.47
 13:37:54   ,608.0,644.8,365.59
 13:37:57   ,760.0,721.1,308.45
 13:38:00   ,645.0,765.7,222.31
 13:38:03   ,666.0,748.4,212.4
 13:38:06   ,611.0,707.4,198.45
 13:38:09   ,736.0,686.5,172.36
 13:38:12   ,148.0,591.0,203.5
 13:38:15   ,753.0,699.1,62.24
 13:38:33   ,746.0,635.6,171.9
 13:38:36   ,742.0,634.2,170.93
 13:38:39   ,802.0,647.5,178.31
 13:38:42   ,765.0,657.2,177.28
 13:38:45   ,397.0,624.6,192.39
 13:38:48   ,723.0,669.2,180.95
 13:38:51   ,195.0,589.5,236.64
 13:38:54   ,696.0,650.8,198.86
 13:38:57   ,160.0,543.1,268.11
 13:39:00   ,771.0,659.0,188.93
